2021:05:21 18:48:25.502 INFO  --- [main] com.cnc.rating.RatingApplication : Starting RatingApplication using Java 11.0.11 on ip-10-0-9-77.ap-northeast-2.compute.internal with PID 19524 (/home/P171580/cnc_bmt/build/libs/rating-0.0.1-SNAPSHOT.jar started by P171580 in /home/P171580/cnc_bmt/build/libs) 
2021:05:21 18:48:25.506 INFO  --- [main] com.cnc.rating.RatingApplication : The following profiles are active: prod 
2021:05:21 18:48:27.275 INFO  --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2021:05:21 18:48:27.293 INFO  --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces. 
2021:05:21 18:48:27.406 WARN  --- [main] o.m.s.mapper.ClassPathMapperScanner : No MyBatis mapper was found in '[com.cnc.rating]' package. Please check your configuration. 
2021:05:21 18:48:28.065 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8081 (http) 
2021:05:21 18:48:28.082 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"] 
2021:05:21 18:48:28.082 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2021:05:21 18:48:28.082 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.45] 
2021:05:21 18:48:28.161 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2021:05:21 18:48:28.161 INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2564 ms 
2021:05:21 18:48:28.611 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting... 
2021:05:21 18:48:29.064 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed. 
2021:05:21 18:48:29.126 INFO  --- [main] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default] 
2021:05:21 18:48:29.196 INFO  --- [main] org.hibernate.Version : HHH000412: Hibernate ORM core version 5.4.30.Final 
2021:05:21 18:48:29.461 INFO  --- [main] o.h.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2021:05:21 18:48:29.625 INFO  --- [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect 
2021:05:21 18:48:30.559 INFO  --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021:05:21 18:48:30.568 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021:05:21 18:48:31.532 WARN  --- [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2021:05:21 18:48:31.654 INFO  --- [main] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor' 
2021:05:21 18:48:32.088 INFO  --- [main] o.s.b.a.e.web.EndpointLinksResolver : Exposing 4 endpoint(s) beneath base path '/actuator' 
2021:05:21 18:48:32.135 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"] 
2021:05:21 18:48:32.153 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8081 (http) with context path '' 
2021:05:21 18:48:32.177 INFO  --- [main] com.cnc.rating.RatingApplication : Started RatingApplication in 7.619 seconds (JVM running for 8.336) 
2021:05:21 18:49:10.233 INFO  --- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021:05:21 18:49:10.234 INFO  --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet' 
2021:05:21 18:49:10.235 INFO  --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 1 ms 
2021:05:21 18:49:12.941 INFO  --- [http-nio-8081-exec-1] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015500, shard_no : 1, range : 9, duration : 2575, size : 28510  
2021:05:21 18:49:12.986 INFO  --- [http-nio-8081-exec-7] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Starting... 
2021:05:21 18:49:13.006 INFO  --- [http-nio-8081-exec-5] com.zaxxer.hikari.HikariDataSource : HikariPool-3 - Starting... 
2021:05:21 18:49:13.018 INFO  --- [http-nio-8081-exec-8] com.zaxxer.hikari.HikariDataSource : HikariPool-4 - Starting... 
2021:05:21 18:49:13.018 INFO  --- [http-nio-8081-exec-3] com.zaxxer.hikari.HikariDataSource : HikariPool-5 - Starting... 
2021:05:21 18:49:13.019 INFO  --- [http-nio-8081-exec-4] com.zaxxer.hikari.HikariDataSource : HikariPool-6 - Starting... 
2021:05:21 18:49:13.020 INFO  --- [http-nio-8081-exec-10] com.zaxxer.hikari.HikariDataSource : HikariPool-7 - Starting... 
2021:05:21 18:49:13.022 INFO  --- [http-nio-8081-exec-9] com.zaxxer.hikari.HikariDataSource : HikariPool-8 - Starting... 
2021:05:21 18:49:13.025 INFO  --- [http-nio-8081-exec-6] com.zaxxer.hikari.HikariDataSource : HikariPool-9 - Starting... 
2021:05:21 18:49:13.085 INFO  --- [http-nio-8081-exec-8] com.zaxxer.hikari.HikariDataSource : HikariPool-4 - Start completed. 
2021:05:21 18:49:13.093 INFO  --- [http-nio-8081-exec-11] com.zaxxer.hikari.HikariDataSource : HikariPool-10 - Starting... 
2021:05:21 18:49:13.098 INFO  --- [http-nio-8081-exec-6] com.zaxxer.hikari.HikariDataSource : HikariPool-9 - Start completed. 
2021:05:21 18:49:13.102 INFO  --- [http-nio-8081-exec-5] com.zaxxer.hikari.HikariDataSource : HikariPool-3 - Start completed. 
2021:05:21 18:49:13.109 INFO  --- [http-nio-8081-exec-10] com.zaxxer.hikari.HikariDataSource : HikariPool-7 - Start completed. 
2021:05:21 18:49:13.117 INFO  --- [http-nio-8081-exec-3] com.zaxxer.hikari.HikariDataSource : HikariPool-5 - Start completed. 
2021:05:21 18:49:13.137 INFO  --- [http-nio-8081-exec-9] com.zaxxer.hikari.HikariDataSource : HikariPool-8 - Start completed. 
2021:05:21 18:49:13.152 INFO  --- [http-nio-8081-exec-7] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Start completed. 
2021:05:21 18:49:13.175 INFO  --- [http-nio-8081-exec-4] com.zaxxer.hikari.HikariDataSource : HikariPool-6 - Start completed. 
2021:05:21 18:49:13.180 INFO  --- [http-nio-8081-exec-11] com.zaxxer.hikari.HikariDataSource : HikariPool-10 - Start completed. 
2021:05:21 18:49:18.123 INFO  --- [http-nio-8081-exec-9] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015505, shard_no : 6, range : 9, duration : 5116, size : 28258  
2021:05:21 18:49:18.138 INFO  --- [http-nio-8081-exec-1] com.zaxxer.hikari.HikariDataSource : HikariPool-11 - Starting... 
2021:05:21 18:49:18.388 INFO  --- [http-nio-8081-exec-1] com.zaxxer.hikari.HikariDataSource : HikariPool-11 - Start completed. 
2021:05:21 18:49:18.969 INFO  --- [http-nio-8081-exec-5] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015503, shard_no : 4, range : 9, duration : 5980, size : 28336  
2021:05:21 18:49:18.977 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015506, shard_no : 7, range : 9, duration : 5978, size : 28167  
2021:05:21 18:49:18.997 INFO  --- [http-nio-8081-exec-9] com.zaxxer.hikari.HikariDataSource : HikariPool-12 - Starting... 
2021:05:21 18:49:19.107 INFO  --- [http-nio-8081-exec-6] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015502, shard_no : 3, range : 9, duration : 6122, size : 28431  
2021:05:21 18:49:19.142 INFO  --- [http-nio-8081-exec-5] com.zaxxer.hikari.HikariDataSource : HikariPool-13 - Starting... 
2021:05:21 18:49:19.148 INFO  --- [http-nio-8081-exec-9] com.zaxxer.hikari.HikariDataSource : HikariPool-12 - Start completed. 
2021:05:21 18:49:19.154 INFO  --- [http-nio-8081-exec-12] com.zaxxer.hikari.HikariDataSource : HikariPool-14 - Starting... 
2021:05:21 18:49:19.276 INFO  --- [http-nio-8081-exec-5] com.zaxxer.hikari.HikariDataSource : HikariPool-13 - Start completed. 
2021:05:21 18:49:19.287 INFO  --- [http-nio-8081-exec-11] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015509, shard_no : 10, range : 9, duration : 6217, size : 28354  
2021:05:21 18:49:19.292 INFO  --- [http-nio-8081-exec-10] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015504, shard_no : 5, range : 9, duration : 6299, size : 28536  
2021:05:21 18:49:19.301 INFO  --- [http-nio-8081-exec-3] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015507, shard_no : 8, range : 9, duration : 6290, size : 28647  
2021:05:21 18:49:19.316 INFO  --- [http-nio-8081-exec-12] com.zaxxer.hikari.HikariDataSource : HikariPool-14 - Start completed. 
2021:05:21 18:49:19.349 INFO  --- [http-nio-8081-exec-8] com.zaxxer.hikari.HikariDataSource : HikariPool-15 - Starting... 
2021:05:21 18:49:19.353 INFO  --- [http-nio-8081-exec-6] com.zaxxer.hikari.HikariDataSource : HikariPool-16 - Starting... 
2021:05:21 18:49:19.362 INFO  --- [http-nio-8081-exec-10] com.zaxxer.hikari.HikariDataSource : HikariPool-17 - Starting... 
2021:05:21 18:49:19.373 INFO  --- [http-nio-8081-exec-4] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015508, shard_no : 9, range : 9, duration : 6370, size : 28365  
2021:05:21 18:49:19.382 INFO  --- [http-nio-8081-exec-11] com.zaxxer.hikari.HikariDataSource : HikariPool-18 - Starting... 
2021:05:21 18:49:19.498 INFO  --- [http-nio-8081-exec-8] com.zaxxer.hikari.HikariDataSource : HikariPool-15 - Start completed. 
2021:05:21 18:49:19.524 INFO  --- [http-nio-8081-exec-2] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015501, shard_no : 2, range : 9, duration : 6545, size : 28421  
2021:05:21 18:49:19.532 INFO  --- [http-nio-8081-exec-7] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015501, shard_no : 2, range : 9, duration : 6553, size : 28421  
2021:05:21 18:49:19.536 INFO  --- [http-nio-8081-exec-10] com.zaxxer.hikari.HikariDataSource : HikariPool-17 - Start completed. 
2021:05:21 18:49:19.543 INFO  --- [http-nio-8081-exec-6] com.zaxxer.hikari.HikariDataSource : HikariPool-16 - Start completed. 
2021:05:21 18:49:19.549 INFO  --- [http-nio-8081-exec-3] com.zaxxer.hikari.HikariDataSource : HikariPool-19 - Starting... 
2021:05:21 18:49:19.557 INFO  --- [http-nio-8081-exec-11] com.zaxxer.hikari.HikariDataSource : HikariPool-18 - Start completed. 
2021:05:21 18:49:19.575 INFO  --- [http-nio-8081-exec-4] com.zaxxer.hikari.HikariDataSource : HikariPool-20 - Starting... 
2021:05:21 18:49:19.605 INFO  --- [http-nio-8081-exec-3] com.zaxxer.hikari.HikariDataSource : HikariPool-19 - Start completed. 
2021:05:21 18:49:19.737 INFO  --- [http-nio-8081-exec-4] com.zaxxer.hikari.HikariDataSource : HikariPool-20 - Start completed. 
2021:05:21 18:49:23.157 INFO  --- [http-nio-8081-exec-1] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015510, shard_no : 11, range : 9, duration : 5022, size : 28536  
2021:05:21 18:49:24.232 INFO  --- [http-nio-8081-exec-9] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015511, shard_no : 12, range : 9, duration : 5238, size : 28461  
2021:05:21 18:49:24.392 INFO  --- [http-nio-8081-exec-5] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015513, shard_no : 14, range : 9, duration : 5252, size : 28656  
2021:05:21 18:49:24.518 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015514, shard_no : 15, range : 9, duration : 5209, size : 28246  
2021:05:21 18:49:24.666 INFO  --- [http-nio-8081-exec-11] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015517, shard_no : 18, range : 9, duration : 5286, size : 28593  
2021:05:21 18:49:24.745 INFO  --- [http-nio-8081-exec-10] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015516, shard_no : 17, range : 9, duration : 5387, size : 28140  
2021:05:21 18:49:24.858 INFO  --- [http-nio-8081-exec-6] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015515, shard_no : 16, range : 9, duration : 5509, size : 28093  
2021:05:21 18:49:24.900 INFO  --- [http-nio-8081-exec-12] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015512, shard_no : 13, range : 9, duration : 5774, size : 28275  
2021:05:21 18:49:24.940 INFO  --- [http-nio-8081-exec-4] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015519, shard_no : 20, range : 9, duration : 5366, size : 28238  
2021:05:21 18:49:25.034 INFO  --- [http-nio-8081-exec-3] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015518, shard_no : 19, range : 9, duration : 5487, size : 28399  
2021:05:21 18:49:26.823 INFO  --- [http-nio-8081-exec-7] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015520, shard_no : 1, range : 9, duration : 3549, size : 28097  
2021:05:21 18:49:29.587 INFO  --- [http-nio-8081-exec-5] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015524, shard_no : 5, range : 9, duration : 4904, size : 28325  
2021:05:21 18:49:29.661 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015525, shard_no : 6, range : 9, duration : 4900, size : 27829  
2021:05:21 18:49:29.713 INFO  --- [http-nio-8081-exec-9] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015523, shard_no : 4, range : 9, duration : 5179, size : 28217  
2021:05:21 18:49:29.812 INFO  --- [http-nio-8081-exec-1] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015522, shard_no : 3, range : 9, duration : 5416, size : 28346  
2021:05:21 18:49:29.827 INFO  --- [http-nio-8081-exec-2] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015521, shard_no : 2, range : 9, duration : 5560, size : 28393  
2021:05:21 18:49:29.844 INFO  --- [http-nio-8081-exec-11] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015526, shard_no : 7, range : 9, duration : 4955, size : 28239  
2021:05:21 18:49:29.952 INFO  --- [http-nio-8081-exec-12] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015529, shard_no : 10, range : 9, duration : 4913, size : 28269  
2021:05:21 18:49:29.972 INFO  --- [http-nio-8081-exec-10] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015527, shard_no : 8, range : 9, duration : 5060, size : 28585  
2021:05:21 18:49:29.979 INFO  --- [http-nio-8081-exec-6] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015528, shard_no : 9, range : 9, duration : 4960, size : 28479  
2021:05:21 18:49:30.276 INFO  --- [http-nio-8081-exec-4] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015530, shard_no : 11, range : 9, duration : 3278, size : 28549  
2021:05:21 18:49:34.488 INFO  --- [http-nio-8081-exec-2] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015537, shard_no : 18, range : 9, duration : 4499, size : 28479  
2021:05:21 18:49:34.750 INFO  --- [http-nio-8081-exec-9] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015535, shard_no : 16, range : 9, duration : 4920, size : 28426  
2021:05:21 18:49:34.803 INFO  --- [http-nio-8081-exec-12] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015539, shard_no : 20, range : 9, duration : 4804, size : 28441  
2021:05:21 18:49:34.813 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015534, shard_no : 15, range : 9, duration : 4998, size : 28379  
2021:05:21 18:49:34.945 INFO  --- [http-nio-8081-exec-7] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015532, shard_no : 13, range : 9, duration : 5222, size : 28401  
2021:05:21 18:49:34.967 INFO  --- [http-nio-8081-exec-11] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015538, shard_no : 19, range : 9, duration : 4973, size : 28490  
2021:05:21 18:49:34.969 INFO  --- [http-nio-8081-exec-5] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015533, shard_no : 14, range : 9, duration : 5229, size : 28450  
2021:05:21 18:49:35.051 INFO  --- [http-nio-8081-exec-3] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015531, shard_no : 12, range : 9, duration : 5376, size : 28675  
2021:05:21 18:49:35.073 INFO  --- [http-nio-8081-exec-1] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015536, shard_no : 17, range : 9, duration : 5216, size : 28510  
2021:05:21 18:49:35.152 INFO  --- [http-nio-8081-exec-10] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015540, shard_no : 1, range : 9, duration : 4867, size : 28476  
2021:05:21 18:49:38.930 INFO  --- [http-nio-8081-exec-6] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015541, shard_no : 2, range : 9, duration : 4406, size : 28401  
2021:05:21 18:49:39.704 INFO  --- [http-nio-8081-exec-3] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015550, shard_no : 11, range : 9, duration : 4548, size : 28303  
2021:05:21 18:49:39.710 INFO  --- [http-nio-8081-exec-9] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015544, shard_no : 5, range : 9, duration : 4797, size : 28521  
2021:05:21 18:49:39.693 INFO  --- [http-nio-8081-exec-2] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015543, shard_no : 4, range : 9, duration : 4881, size : 28360  
2021:05:21 18:49:39.818 INFO  --- [http-nio-8081-exec-4] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015542, shard_no : 3, range : 9, duration : 5045, size : 28385  
2021:05:21 18:49:39.899 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015546, shard_no : 7, range : 9, duration : 4926, size : 28590  
2021:05:21 18:49:39.903 INFO  --- [http-nio-8081-exec-7] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015547, shard_no : 8, range : 9, duration : 4850, size : 28326  
2021:05:21 18:49:39.960 INFO  --- [http-nio-8081-exec-12] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015545, shard_no : 6, range : 9, duration : 5001, size : 28582  
2021:05:21 18:49:39.972 INFO  --- [http-nio-8081-exec-5] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015549, shard_no : 10, range : 9, duration : 4882, size : 28426  
2021:05:21 18:49:40.048 INFO  --- [http-nio-8081-exec-11] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015548, shard_no : 9, range : 9, duration : 4984, size : 28300  
2021:05:21 18:49:43.234 INFO  --- [http-nio-8081-exec-1] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015551, shard_no : 12, range : 9, duration : 4276, size : 28353  
2021:05:21 18:49:44.655 INFO  --- [http-nio-8081-exec-6] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015553, shard_no : 14, range : 9, duration : 4819, size : 28521  
2021:05:21 18:49:44.660 INFO  --- [http-nio-8081-exec-9] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015555, shard_no : 16, range : 9, duration : 4737, size : 28110  
2021:05:21 18:49:44.760 INFO  --- [http-nio-8081-exec-8] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015559, shard_no : 20, range : 9, duration : 4763, size : 28371  
2021:05:21 18:49:44.788 INFO  --- [http-nio-8081-exec-3] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015554, shard_no : 15, range : 9, duration : 4948, size : 28280  
2021:05:21 18:49:44.809 INFO  --- [http-nio-8081-exec-4] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015557, shard_no : 18, range : 9, duration : 4856, size : 28246  
2021:05:21 18:49:44.817 INFO  --- [http-nio-8081-exec-7] com.cnc.rating.service.QueryService : service_mgmt_no : 7000015558, shard_no : 19, range : 9, duration : 4833, size : 28721  
